name	category	intro	formula	top_ex_annual_cost	top_ex_annual_free	erosion	bottom_ex_annual_cost	ls_annual_cost	ic_mean	ir	sharpe_top_cost	maxdd_top_cost	turnover_top
DAVOL10	情绪类因子	10日平均换手率与120日平均换手率之比	10日平均换手率 / 120日平均换手率	-23.57	-16.55	-7.02	-10.46	-85.84	-0.025463	-0.267443	-0.752502	39.34	9.76
ROC60	动量类因子	60日变动速率（Price Rate of Change）	①AX=今天的收盘价—20天前的收盘价 ②BX=60天前的收盘价 ③ROC=AX/BX*100	-23.80	-15.01	-8.78	-12.19	-85.76	-0.015901	-0.106535	-0.70539	39.90	12.12
AR	情绪类因子	人气指标	AR=N日内（当日最高价—当日开市价）之和 / N日内（当日开市价—当日最低价）之和 * 100，n设定为26	-23.93	-12.37	-11.57	-16.60	-85.07	-0.026531	-0.223387	-0.784868	39.99	15.74
MAWVAD	情绪类因子	因子WVAD的6日均值		-24.20	-11.98	-12.21	-15.52	-85.35	-0.013192	-0.121663	-0.835774	40.66	16.61
TRIX5	动量类因子	5日终极指标TRIX	MTR=收盘价的5日指数移动平均的10日指数移动平均的5日指数移动平均; TRIX=(MTR-1日前的MTR)/1日前的MTR*100	-24.23	-13.53	-10.70	-14.38	-85.53	-0.02188	-0.144074	-0.775099	40.90	14.69
MFI14	技术指标因子	资金流量指标	①求得典型价格（当日最高价，最低价和收盘价的均值）②根据典型价格高低判定正负向资金流（资金流=典型价格*成交量）③计算MR= 正向/负向 ④MFI=100-100/（1+MR）	-24.27	-8.50	-15.78	-18.71	-84.79	-0.020684	-0.175573	-0.868412	40.73	21.04
BR	情绪类因子	意愿指标	BR=N日内（当日最高价－昨日收盘价）之和 / N日内（昨日收盘价－当日最低价）之和×100 n设定为26	-24.41	-12.47	-11.94	-15.34	-85.39	-0.024306	-0.198467	-0.803226	41.18	16.30
CR20	动量类因子	CR指标	①中间价=1日前的最高价+最低价/2 ②上升值=今天的最高价-前一日的中间价（负值记0） ③下跌值=前一日的中间价-今天的最低价（负值记0） ④多方强度=20天的上升值的和，空方强度=20天的下跌值的和 ⑤CR=（多方强度÷空方强度）×100	-24.54	-11.98	-12.56	-14.37	-85.56	-0.024446	-0.175756	-0.84521	41.56	17.11
VDIFF	情绪类因子	计算VMACD因子的中间变量	EMA(VOLUME，SHORT)-EMA(VOLUME，LONG) short设置为12，long设置为26，M设置为9	-24.65	-13.13	-11.52	-16.36	-84.86	-0.021777	-0.227335	-0.823236	41.65	15.83
sharpe_ratio_20	风险类因子	20日夏普比率	（Rp - Rf） / Sigma p 其中，Rp是个股的年化收益率，Rf是无风险利率（在这里设置为0.04），Sigma p是个股的收益波动率（标准差）	-25.00	-10.12	-14.88	-16.88	-85.14	-0.029269	-0.224657	-0.841	42.58	20.12
TVSTD6	情绪类因子	6日成交金额的标准差	6日成交额的标准差	-25.20	-12.73	-12.47	-18.46	-84.74	-0.0363	-0.275969	-0.76163	42.97	17.15
EMAC12	技术指标因子	12日指数移动均线	12日指数移动均线 / 今日收盘价	-25.27	-3.15	-22.12	-34.58	-81.87	0.028809	0.183578	-0.772002	50.22	28.84
arron_down_25	动量类因子	Aroon指标下轨	Aroon(下降)=[(计算期天数-最低价后的天数)/计算期天数]*100	-25.32	-7.97	-17.34	-26.99	-83.24	0.009075	0.082861	-0.880825	47.34	23.19
PLRC12	动量类因子	12日收盘价格与日期线性回归系数	计算 12 日收盘价格，与日期序号（1-12）的线性回归系数，(close / mean(close)) = beta * t + alpha	-25.37	-14.21	-11.17	-17.67	-85.32	-0.019225	-0.13153	-0.823973	43.37	15.51
CCI20	动量类因子	20日顺势指标	CCI:=(TYP-MA(TYP,N))/(0.015*AVEDEV(TYP,N)); TYP:=(HIGH+LOW+CLOSE)/3; N:=20	-25.48	-6.89	-18.59	-20.15	-84.69	-0.022494	-0.161669	-0.889863	43.64	24.78
VR	情绪类因子	成交量比率（Volume Ratio）	VR=（AVS+1/2CVS）/（BVS+1/2CVS）	-26.27	-12.82	-13.45	-16.01	-85.59	-0.018996	-0.175343	-0.927707	45.30	18.62
Price3M	动量类因子	当前股价除以过去三个月股价均值再减1	当日收盘价 / mean(过去三个月(61天)的收盘价) -1	-26.73	-16.55	-10.18	-12.81	-86.10	-0.023645	-0.14652	-0.841029	46.21	14.46
BBIC	动量类因子	BBI 动量	BBI(3, 6, 12, 24) / 收盘价 （BBI 为常用技术指标类因子“多空均线”）	-27.19	-4.19	-23.01	-35.47	-82.15	0.02916	0.186259	-0.851802	53.87	30.54
BIAS60	动量类因子	60日乖离率	（收盘价-收盘价的N日简单平均）/ 收盘价的N日简单平均*100，在此n取60	-27.26	-17.05	-10.20	-12.83	-86.19	-0.023683	-0.146742	-0.864502	47.32	14.59
