name	category	intro	formula	top_ex_annual_cost	top_ex_annual_free	erosion	bottom_ex_annual_cost	ls_annual_cost	ic_mean	ir	sharpe_top_cost	maxdd_top_cost	turnover_top
inventory_turnover_days	质量类因子	存货周转天数	存货周转天数=360/存货周转率	-3.40	-2.23	-1.17	-6.25	-82.99	-0.007188	-0.081685	0.088379	29.94	1.34
SGAI	质量类因子	销售管理费用指数	本期(年报)销售管理费用占营业收入的比例/上期(年报)销售管理费用占营业收入的比例	-3.49	-1.82	-1.66	-5.01	-83.32	-0.001271	-0.023177	0.096813	23.60	1.90
price_no_fq	技术指标因子	不复权价格因子	不复权价格	-3.49	-1.52	-1.97	-8.12	-82.67	-0.028706	-0.12577	0.074551	35.82	2.24
operating_assets	基础科目及衍生类因子	经营性资产	总资产 - 金融资产	-3.49	-2.26	-1.23	-10.08	-82.80	0.019742	0.139757	0.114078	19.79	1.41
average_share_turnover_annual	风险因子 - 风格因子	年度平均月换手率	ln(sum(turn_over_ratio)/12)，turn_over_ratio为过去十二个月（252个交易日）的平均换手率	-3.58	-1.90	-1.68	-8.84	-82.33	-0.026042	-0.101201	0.065289	37.60	1.92
profit_margin_ttm	质量类因子	销售利润率TTM	营业利润/营业收入	-3.67	-2.39	-1.28	-12.02	-82.22	0.00614	0.073133	0.09383	21.00	1.46
cash_flow_to_price_ratio	基础科目及衍生类因子	现金流市值比	1 / pcf_ratio (ttm)	-3.70	-1.50	-2.20	-12.93	-81.77	0.004744	0.100024	0.104349	21.04	2.51
roa_ttm	质量类因子	资产回报率TTM	资产回报率=净利润（TTM）/期末总资产	-3.72	-2.38	-1.34	-11.59	-82.36	0.005311	0.049691	0.089533	21.39	1.53
cash_and_equivalents_per_share	每股指标因子	每股现金及现金等价物余额	每股现金及现金等价物余额	-3.74	-2.44	-1.30	-10.31	-82.46	-0.001926	-0.029468	0.084913	24.00	1.49
operating_profit_ratio	质量类因子	营业利润率	营业利润率=营业利润（TTM）/营业收入（TTM）	-3.75	-2.47	-1.28	-11.91	-82.25	0.006139	0.073006	0.090146	20.93	1.47
asset_impairment_loss_ttm	基础科目及衍生类因子	资产减值损失TTM	计算过去12个月 资产减值损失 之和	-3.87	-2.46	-1.41	-10.63	-82.42	0.00646	0.099438	0.089579	20.55	1.62
cash_rate_of_sales	质量类因子	经营活动产生的现金流量净额与营业收入之比	经营活动产生的现金流量净额（TTM） / 营业收入（TTM）	-3.91	-2.37	-1.54	-7.81	-83.16	0.008631	0.126868	0.090983	19.47	1.76
operating_profit_to_operating_revenue	质量类因子	营业利润与营业总收入之比	营业利润与营业总收入之比=营业利润（TTM）/营业总收入（TTM）	-3.93	-2.68	-1.25	-12.22	-82.24	0.006679	0.078421	0.082419	20.67	1.43
net_profit_to_total_operate_revenue_ttm	质量类因子	净利润与营业总收入之比	净利润与营业总收入之比=净利润（TTM）/营业总收入（TTM）	-4.01	-2.79	-1.22	-12.95	-82.11	0.006767	0.077691	0.07744	22.36	1.40
net_operate_cash_flow_to_asset	质量类因子	总资产现金回收率	经营活动产生的现金流量净额(ttm) / 总资产	-4.02	-2.45	-1.57	-8.15	-83.17	0.009034	0.107114	0.082368	23.23	1.80
short_term_predicted_earnings_growth	风险因子 - 风格因子	预期短期盈利增长率	分析师预测未来1年盈利增长率	-4.05	-2.01	-2.04	-7.87	-82.79	-0.007475	-0.050354	0.061968	32.10	2.33
long_term_debt_to_asset_ratio	质量类因子	长期负债与资产总计之比	长期负债与资产总计之比=非流动负债合计/总资产	-4.20	-2.87	-1.32	-10.27	-82.48	0.003234	0.048825	0.06692	23.64	1.52
SGI	质量类因子	营业收入指数	本期(年报)营业收入/上期(年报)营业收入	-4.23	-2.58	-1.66	-8.79	-82.76	-0.001872	-0.024689	0.06119	30.03	1.90
net_operate_cash_flow_per_share	每股指标因子	每股经营活动产生的现金流量净额	每股经营活动产生的现金流量净额	-4.27	-2.22	-2.05	-9.67	-82.82	0.007444	0.100936	0.069108	22.14	2.36
fixed_asset_ratio	质量类因子	固定资产比率	固定资产比率=(固定资产+工程物资+在建工程)/总资产	-4.30	-3.16	-1.14	-7.39	-83.12	0.002345	0.031926	0.063725	24.41	1.31
net_asset_per_share	每股指标因子	每股净资产	归属母公司所有者权益合计除以总股本	-4.34	-3.23	-1.10	-12.54	-82.15	-0.001089	-0.012834	0.06141	24.93	1.27
cash_earnings_to_price_ratio	风险因子 - 风格因子	现金流量市值比	过去一年的净经营现金流 除以 当前股票市值	-4.43	-2.67	-1.76	-4.59	-84.51	0.024546	0.124684	0.072565	20.10	2.03
btop	风险因子 - 新风格因子	市净率因子	1.00 * book_to_price	-4.46	-2.81	-1.65	-6.72	-84.53	0.032754	0.135724	0.071628	16.76	1.90
net_operate_cash_flow_to_total_liability	质量类因子	经营活动产生的现金流量净额/负债合计	经营活动产生的现金流量净额/负债合计	-4.46	-2.38	-2.08	-9.66	-82.83	0.00799	0.115441	0.05809	19.95	2.39
average_share_turnover_quarterly	风险因子 - 风格因子	季度平均平均月换手率	ln(sum(turn_over_ratio)/3)，turn_over_ratio为过去三个月（63个交易日）的平均换手率	-4.55	-2.26	-2.29	-4.88	-83.23	-0.033161	-0.125769	0.035145	39.85	2.63
interest_carry_current_liability	基础科目及衍生类因子	带息流动负债	流动负债合计 - 无息流动负债	-4.57	-3.27	-1.31	-9.40	-82.90	0.011678	0.115591	0.054744	20.71	1.51
roe_ttm_8y	质量类因子	长期权益回报率TTM	8年(1+roe_ttm)的累乘 ^ (1/8) - 1 # 至少要有近4年的数据，否则为 nan	-4.66	-3.52	-1.13	-11.73	-82.48	0.000681	0.006506	0.0525	22.94	1.31
accounts_payable_turnover_rate	质量类因子	应付账款周转率	TTM(营业成本,0)/（AvgQ(应付账款,4,0) + AvgQ(应付票据,4,0) + AvgQ(预付款项,4,0) ）	-4.70	-3.38	-1.32	-5.64	-83.65	0.008969	0.105845	0.048226	20.82	1.53
gross_profit_ttm	基础科目及衍生类因子	毛利TTM	计算过去12个月毛利之和	-4.71	-3.26	-1.46	-12.81	-82.68	0.017186	0.13784	0.053351	22.46	1.68
book_to_price_ratio	风险因子 - 风格因子	市净率因子	每股净资产与每股股价的比率	-4.77	-3.13	-1.64	-7.36	-84.47	0.033085	0.137125	0.053934	16.76	1.90
non_current_asset_ratio	质量类因子	非流动资产比率	非流动资产比率=非流动资产合计/总资产	-4.79	-3.49	-1.30	-7.05	-83.25	0.007155	0.084915	0.043152	23.45	1.51
non_recurring_gain_loss	基础科目及衍生类因子	非经常性损益	净利润-扣除非经常损益后的净利润(元)	-4.83	-2.75	-2.08	-8.31	-83.24	0.008668	0.148525	0.044702	18.95	2.40
goods_sale_and_service_render_cash_ttm	基础科目及衍生类因子	销售商品提供劳务收到的现金	计算过去12个月 销售商品提供劳务收到的现金 之和	-4.83	-3.55	-1.28	-11.07	-82.84	0.017513	0.141883	0.043511	22.28	1.49
liquidty	风险因子 - 新风格因子	流动性因子	0.25 * monthly_share_turnover + 0.25 * quarterly_share_turnover + 0.25 * annual_share_turnover + 0.25 * annualized_traded_value_ratio	-4.91	-2.60	-2.31	-5.29	-83.22	-0.028756	-0.115215	0.025184	38.78	2.66
retained_earnings_per_share	每股指标因子	每股留存收益	每股留存收益	-5.01	-3.95	-1.06	-10.55	-82.86	0.004808	0.049043	0.035275	21.20	1.23
net_operate_cash_flow_to_net_debt	质量类因子	经营活动产生现金流量净额/净债务	经营活动产生现金流量净额/净债务	-5.04	-2.99	-2.05	-6.94	-83.34	0.005466	0.100724	0.031378	19.51	2.38
total_profit_to_cost_ratio	质量类因子	成本费用利润率	成本费用利润率=利润总额/(营业成本+财务费用+销售费用+管理费用)，以上科目使用的都是TTM的数值	-5.09	-3.93	-1.16	-12.85	-82.36	0.003728	0.04164	0.028133	23.08	1.35
dividend_yield_v2		分红收益率因子		-5.10	-3.10	-1.99	-2.20	-85.64	0.025788	0.099505	0.039675	20.12	2.32
growth_v2		成长因子		-5.10	-2.58	-2.52	-12.47	-82.02	-0.007067	-0.065505	0.023688	31.27	2.91
relative_momentum	风险因子 - 新风格因子	相对动量因子	0.50 * historical_alpha + 0.50 * relative_strength_12_month	-5.11	-2.66	-2.45	-12.23	-82.64	0.007462	0.03159	0.021686	39.14	2.84
value_change_profit_ttm	基础科目及衍生类因子	价值变动净收益TTM	计算过去12个月 价值变动净收益 之和	-5.18	-3.53	-1.64	-9.60	-83.08	0.016044	0.176497	0.028477	20.05	1.90
growth	风险因子 - 风格因子	成长因子	0.18 * 预期长期盈利增长率 + 0.11 * 预期短期盈利增长率 + 0.24 * 5年盈利增长率 + 0.47 * 5年营业收入增长率	-5.37	-3.90	-1.46	-13.43	-81.93	-0.00566	-0.05777	0.014524	29.44	1.70
liquidity_v2		流动性因子		-5.39	-3.19	-2.20	-7.22	-82.96	-0.033292	-0.125268	0.010138	39.85	2.56
long_debt_to_working_capital_ratio	质量类因子	长期负债与营运资金比率	长期负债与营运资金比率=非流动负债合计/(流动资产合计-流动负债合计)	-5.39	-3.95	-1.44	-10.84	-82.54	0.003235	0.057691	0.016122	21.93	1.68
divyild	风险因子 - 新风格因子	分红因子	0.50 * dividend_to_price + 0.50 * analyst_predicted_dividend_to_price	-5.45	-3.96	-1.49	-9.01	-84.28	0.023979	0.106476	0.01781	20.39	1.74
operating_cost_ttm	基础科目及衍生类因子	营业成本TTM	计算过去12个月的 营业成本 之和	-5.46	-4.21	-1.25	-9.73	-83.10	0.01597	0.135883	0.012774	22.53	1.46
maximum_margin	质量类因子	最大盈利水平	max(margin_stability, DEGM_8y)	-5.48	-3.72	-1.76	-7.07	-83.23	0.000133	0.002323	0.011248	24.63	2.05
sales_to_price_ratio	基础科目及衍生类因子	营收市值比	1 / ps_ratio (ttm)	-5.77	-4.07	-1.70	-9.31	-83.30	0.017369	0.140845	-0.002093	22.29	1.99
financial_assets	基础科目及衍生类因子	金融资产	货币资金 + 交易性金融资产 + 应收票据 + 应收利息 + 应收股利 + 可供出售金融资产 + 持有至到期投资	-5.87	-4.59	-1.28	-10.24	-83.19	0.015178	0.148716	-0.007319	18.68	1.50
net_working_capital	基础科目及衍生类因子	净运营资本	流动资产 － 流动负债	-5.87	-4.58	-1.29	-6.29	-83.52	0.00598	0.113692	-0.00712	20.33	1.51
sales_growth	风险因子 - 风格因子	5年营业收入增长率	过去5个财年的 每股营业收入增长 除以 年均每股营业收入	-5.89	-4.67	-1.23	-11.93	-82.31	-0.006582	-0.066663	-0.006463	29.71	1.44
MLEV	质量类因子	市场杠杆	市场杠杆=非流动负债合计/(非流动负债合计+总市值)	-5.94	-4.46	-1.48	-7.49	-83.43	0.010393	0.104877	-0.010436	21.30	1.73
midcap	风险因子 - 新风格因子	中等市值因子	1.00 * cube_of_size_exposure	-5.96	-3.03	-2.93	-8.00	-83.91	0.004733	0.02473	-0.009955	31.60	3.41
DEGM_8y	质量类因子	长期毛利率增长	过去8年(1+DEGM)的累成 ^ (1/8) - 1	-5.99	-4.40	-1.60	-9.24	-83.04	0.002279	0.040269	-0.012315	25.17	1.87
earnvar	风险因子 - 新风格因子	盈利变动率因子	0.20 * variability_in_cashflows + 0.25 * variability_in_earnings + 0.20 * variability_in_sales + 0.35 * std_of_analyst_forecast_earning_to_price	-6.09	-4.17	-1.92	-11.41	-82.34	-0.014566	-0.114864	-0.014242	33.77	2.24
np_parent_company_owners_growth_rate	成长类因子	归属母公司股东的净利润增长率	(今年归属于母公司所有者的净利润（TTM）/去年归属于母公司所有者的净利润（TTM）)-1	-6.13	-4.23	-1.90	-10.13	-82.90	0.008298	0.119382	-0.016736	24.71	2.22
current_asset_turnover_rate	质量类因子	流动资产周转率TTM	过去12个月的营业收入/过去12个月的平均流动资产合计	-6.16	-4.95	-1.20	-8.98	-83.35	0.009154	0.097307	-0.02095	23.15	1.41
value_v2		价值因子		-6.22	-4.67	-1.55	-4.12	-84.90	0.029202	0.137948	-0.027344	17.52	1.83
financial_leverage	风险因子 - 新风格因子	财务杠杆因子	0.40 * debt_to_asset + 0.30 * book_lev + 0.30 * market_lev	-6.26	-5.15	-1.12	-7.87	-83.52	0.010352	0.078029	-0.026521	21.49	1.31
net_debt	基础科目及衍生类因子	净债务	总债务-期末现金及现金等价物余额	-6.27	-5.05	-1.22	-8.21	-83.41	0.013145	0.116672	-0.026546	22.10	1.44
equity_turnover_rate	质量类因子	股东权益周转率	股东权益周转率=营业收入(ttm)/股东权益	-6.32	-5.15	-1.17	-7.36	-83.44	-0.002456	-0.035713	-0.026451	24.46	1.38
net_operate_cash_flow_to_operate_income	质量类因子	经营活动产生的现金流量净额与经营活动净收益之比	经营活动产生的现金流量净额（TTM）/(营业总收入（TTM）-营业总成本（TTM）	-6.37	-4.74	-1.63	-7.56	-83.54	0.007387	0.141767	-0.029629	22.86	1.91
non_linear_size	风险因子 - 风格因子	非线性市值因子	1.0*市值立方因子，标准化市值因子的三次方，之后将结果和标准化市值因子回归取残差（去除和市值因子的共线性），然后残差值进行缩尾处理（将3倍标准差之外的点处理成3倍标准差）和标准化	-6.45	-3.43	-3.02	-9.87	-83.58	0.004877	0.025887	-0.031668	31.66	3.54
ACCA	质量类因子	现金流资产比和资产回报率之差	现金流资产比-资产回报率,其中现金流资产比=经营活动产生的现金流量净额/总资产	-6.47	-3.87	-2.60	-3.71	-84.08	0.00315	0.056505	-0.033883	21.03	3.04
financial_expense_rate	质量类因子	财务费用与营业总收入之比	= 财务费用（TTM） / 营业总收入（TTM）	-6.51	-5.17	-1.34	-7.31	-83.43	0.003021	0.043678	-0.034473	27.56	1.58
cube_of_size	风险因子 - 风格因子	市值立方因子	标准化市值因子的三次方，之后将结果和标准化市值因子回归取残差（去除和市值因子的共线性），然后残差值进行缩尾处理（将3倍标准差之外的点处理成3倍标准差）和标准化	-6.55	-3.64	-2.91	-8.39	-83.95	0.004583	0.023936	-0.036023	31.84	3.41
financial_expense_ttm	基础科目及衍生类因子	财务费用TTM	计算过去12个月 财务费用 之和	-6.74	-5.50	-1.24	-9.36	-83.16	0.006309	0.074597	-0.048404	21.96	1.47
debt_to_tangible_equity_ratio	质量类因子	有形净值债务率	负债合计/有形净值 其中有形净值=股东权益-无形资产净值，无形资产净值= 商誉+无形资产	-6.76	-5.45	-1.31	-8.48	-83.26	0.004978	0.068948	-0.047067	26.17	1.55
net_operate_cashflow_growth_rate	成长类因子	经营活动产生的现金流量净额增长率	=(今年经营活动产生的现金流量净额（TTM）/去年经营活动产生的现金流量净额（TTM）)-1	-6.77	-4.77	-2.00	-6.38	-83.70	0.004563	0.090417	-0.044305	25.81	2.36
earnings_growth	风险因子 - 风格因子	5年盈利增长率	过去5个财年 年均EPS增长 除以 年均EPS	-6.79	-5.59	-1.20	-8.70	-83.29	-0.003896	-0.040868	-0.046564	26.81	1.42
debt_to_asset_ratio	质量类因子	债务总资产比	债务总资产比=负债合计/总资产	-6.80	-5.52	-1.28	-7.05	-83.57	0.003972	0.054582	-0.048777	26.68	1.52
operating_profit_growth_rate	质量类因子	营业利润增长率	营业利润增长率=(今年营业利润（TTM）/去年营业利润（TTM）)-1	-6.81	-4.90	-1.90	-10.25	-83.00	0.007675	0.115675	-0.044167	27.80	2.25
adjusted_profit_to_total_profit	质量类因子	扣除非经常损益后的净利润/净利润	扣除非经常损益后的净利润/净利润	-6.86	-4.56	-2.30	-10.56	-82.78	-0.003132	-0.053372	-0.047369	30.02	2.71
market_leverage	风险因子 - 风格因子	市场杠杆	(普通股市值 + 优先股账面价值(中国股票为0) + 长期负债账面价值) / 普通股市值，长期负债账面价值=长期借款+应付债券	-6.87	-5.77	-1.10	-7.28	-84.12	0.014271	0.085448	-0.060409	20.55	1.30
size_v2		规模因子		-6.87	-3.97	-2.90	-8.56	-83.97	0.004371	0.022828	-0.049788	31.81	3.41
administration_expense_ttm	基础科目及衍生类因子	管理费用TTM	计算过去12个月 管理费用 之和	-6.95	-5.79	-1.16	-7.35	-83.84	0.015225	0.136392	-0.061539	21.19	1.38
net_profit_growth_rate	成长类因子	净利润增长率	净利润增长率=(今年净利润（TTM）/去年净利润（TTM）)-1	-7.01	-5.04	-1.98	-8.79	-83.30	0.007033	0.101688	-0.053108	26.64	2.34
super_quick_ratio	质量类因子	超速动比率	（货币资金+交易性金融资产+应收票据+应收帐款+其他应收款）／流动负债合计	-7.03	-5.77	-1.26	-5.65	-83.80	-0.007035	-0.088263	-0.053962	26.02	1.49
market_cap	基础科目及衍生类因子	市值	市值	-7.04	-3.87	-3.17	-10.07	-83.20	-0.000783	-0.005179	-0.052231	32.51	3.73
debt_to_equity_ratio	质量类因子	产权比率	产权比率=负债合计/归属母公司所有者权益合计	-7.08	-5.77	-1.30	-7.40	-83.51	0.004418	0.060594	-0.06039	26.59	1.55
intangible_asset_ratio	质量类因子	无形资产比率	无形资产比率=(无形资产+研发支出+商誉)/总资产	-7.10	-5.94	-1.16	-7.06	-83.62	0.002667	0.049823	-0.064121	23.05	1.38
interest_free_current_liability	基础科目及衍生类因子	无息流动负债	应付票据+应付账款+预收账款(用 预售款项 代替)+应交税费+应付利息+其他应付款+其他流动负债	-7.15	-5.93	-1.22	-10.17	-83.36	0.012821	0.1191	-0.070287	22.27	1.45
roa_ttm_8y	质量类因子	长期资产回报率TTM	8年(1+roa_ttm)的乘积 ^ (1/8) - 1 # 至少要有近4年的数据，否则为 nan	-7.18	-6.07	-1.10	-11.42	-82.91	-0.000525	-0.00536	-0.065673	23.23	1.31
gross_income_ratio	质量类因子	销售毛利率	销售毛利率=(营业收入（TTM）-营业成本（TTM）)/营业收入（TTM）	-7.18	-5.99	-1.19	-8.52	-83.37	-0.006817	-0.077389	-0.060762	29.26	1.41
equity_to_asset_ratio	质量类因子	股东权益比率	股东权益比率=股东权益/总资产	-7.19	-6.05	-1.14	-6.68	-83.67	-0.003972	-0.054582	-0.063991	24.37	1.35
OperatingCycle	质量类因子	营业周期	应收账款周转天数+存货周转天数	-7.27	-6.08	-1.19	-8.59	-83.22	-0.010688	-0.097399	-0.058009	33.30	1.41
non_operating_net_profit_ttm	基础科目及衍生类因子	营业外收支净额TTM	营业外收入（TTM） - 营业外支出（TTM）	-7.50	-6.17	-1.34	-9.41	-83.23	0.000236	0.005204	-0.091291	22.15	1.60
net_finance_cash_flow_ttm	基础科目及衍生类因子	筹资活动现金流量净额TTM	计算过去12个月 筹资活动现金流量净额 之和	-7.55	-5.93	-1.62	-7.13	-83.51	-0.010996	-0.125937	-0.080708	25.96	1.93
goods_service_cash_to_operating_revenue_ttm	质量类因子	销售商品提供劳务收到的现金与营业收入之比	销售商品提供劳务收到的现金与营业收入之比=销售商品和提供劳务收到的现金（TTM）/营业收入（TTM）	-7.55	-6.06	-1.49	-6.14	-84.06	0.003656	0.051945	-0.08535	21.85	1.78
Kurtosis120	风险类因子	个股收益的120日峰度	取121个交易日的收盘价数据，计算日收益率，再计算其峰度值	-7.82	-4.43	-3.38	-11.49	-83.09	0.002876	0.038456	-0.091737	27.81	4.01
sale_expense_ttm	基础科目及衍生类因子	销售费用TTM	计算过去12个月 销售费用 之和	-7.83	-6.65	-1.18	-9.53	-83.45	0.00497	0.048741	-0.101064	25.12	1.42
total_profit_growth_rate	成长类因子	利润总额增长率	利润总额增长率=(今年利润总额（TTM）/去年利润总额（TTM）)-1	-7.88	-5.99	-1.89	-8.99	-83.44	0.007404	0.109908	-0.088698	27.56	2.26
market_size	风险因子 - 新风格因子	市值规模因子	1.00 * log_of_market_capitalization	-7.93	-4.58	-3.35	-6.03	-84.12	-0.004733	-0.024731	-0.084389	35.34	3.97
liquidity	风险因子 - 风格因子	流动性因子	0.35 * 月换手率 + 0.35 * 季度平均平均月换手率 + 0.3 * 年度平均月换手率，之后将结果和市值因子做回归，取残差（去除和市值因子的共线性）	-7.96	-5.47	-2.49	-6.03	-83.62	-0.03346	-0.128604	-0.067765	40.18	2.97
asset_turnover_ttm	质量类因子	经营资产周转率TTM	营业收入TTM/近4个季度期末净经营性资产均值; 净经营性资产=经营资产-经营负债	-7.96	-6.84	-1.12	-3.19	-84.51	-0.000541	-0.008866	-0.104253	19.76	1.34
operating_liability	基础科目及衍生类因子	经营性负债	总负债 - 金融负债	-8.10	-6.83	-1.27	-9.15	-83.78	0.015454	0.120746	-0.118096	21.99	1.53
LVGI	质量类因子	财务杠杆指数	本期(年报)资产负债率/上期(年报)资产负债率	-8.11	-6.84	-1.28	-5.29	-84.02	-0.002588	-0.0517	-0.094537	28.82	1.53
margin_stability	质量类因子	盈利能力稳定性	mean(GM)/std(GM); GM 为过去8年毛利率ttm	-8.12	-6.97	-1.14	-9.34	-83.45	-0.001013	-0.015119	-0.111171	23.45	1.37
momentum	风险因子 - 风格因子	动量因子	动量因子=1.0*相对强弱因子=sum(w_t * ln(1 + r_t))，其中r_t取滞后21个交易日的前504个交易日的close数据，w_t为半衰期为126天的指数权重，满足w(t-126)=0.5*w(t)	-8.19	-2.59	-5.59	-15.89	-82.48	0.009004	0.037058	-0.08709	38.86	6.57
quick_ratio	质量类因子	速动比率	速动比率=(流动资产合计-存货)/ 流动负债合计	-8.22	-7.08	-1.14	-3.22	-84.45	-0.0082	-0.103033	-0.102494	27.65	1.37
relative_strength	风险因子 - 风格因子	相对强弱	sum(w_t * ln(1 + r_t))，其中r_t取滞后21个交易日的前504个交易日的close数据，w_t为半衰期为126天的指数权重，满足w(t-126)=0.5*w(t)	-8.25	-2.66	-5.59	-15.82	-82.50	0.009028	0.037158	-0.089443	38.86	6.58
VOL120	情绪类因子	120日平均换手率	120日换手率的均值,单位为%	-8.27	-6.20	-2.08	-7.49	-83.32	-0.024834	-0.146129	-0.086701	34.01	2.49
current_ratio	质量类因子	流动比率(单季度)	流动比率=流动资产合计/流动负债合计	-8.30	-7.09	-1.21	-4.05	-84.30	-0.007864	-0.092485	-0.106084	24.86	1.46
natural_log_of_market_cap	风险因子 - 风格因子	对数总市值	对数总市值=总市值的对数	-8.32	-4.99	-3.33	-6.63	-84.09	-0.004583	-0.023936	-0.099431	35.34	3.97
sentiment_v2		情绪因子		-8.40	-4.03	-4.37	-18.10	-81.75	0.005807	0.063449	-0.109769	29.21	5.19
sale_expense_to_operating_revenue	质量类因子	营业费用与营业总收入之比	营业费用与营业总收入之比=销售费用（TTM）/营业总收入（TTM）	-8.48	-7.37	-1.11	-4.71	-84.38	-0.008046	-0.097457	-0.120603	26.46	1.33
cash_to_current_liability	质量类因子	现金比率	期末现金及现金等价物余额/流动负债合计的12个月均值	-8.58	-7.24	-1.34	-5.73	-84.10	-0.003698	-0.058858	-0.124806	25.23	1.62
operating_tax_to_operating_revenue_ratio_ttm	质量类因子	销售税金率	销售税金率=营业税金及附加（TTM）/营业收入（TTM）	-8.78	-7.69	-1.09	-5.53	-84.23	0.000163	0.003167	-0.154666	24.24	1.32
total_asset_turnover_rate	质量类因子	总资产周转率	总资产周转率=营业收入(ttm)/总资产	-8.86	-7.69	-1.18	-8.90	-83.68	0.004802	0.065386	-0.153282	24.54	1.43
rnoa_ttm	质量类因子	经营资产回报率TTM	销售利润率*经营资产周转率	-9.11	-7.82	-1.29	-8.86	-83.80	0.002969	0.032785	-0.151262	22.70	1.56
VOL240	情绪类因子	240日平均换手率	240日换手率的均值,单位为%	-9.13	-7.32	-1.81	-6.81	-83.66	-0.022364	-0.134201	-0.119165	32.47	2.19
operating_cost_to_operating_revenue_ratio	质量类因子	销售成本率	销售成本率=营业成本（TTM）/营业收入（TTM）	-9.14	-7.65	-1.49	-8.52	-83.66	0.004163	0.050119	-0.154101	25.35	1.81
book_leverage	风险因子 - 风格因子	账面杠杆	(普通股账面价值 + 优先股账面价值 + 长期负债账面价值) / 普通股账面价值	-9.17	-8.06	-1.12	-6.87	-84.18	0.005716	0.048979	-0.173106	23.10	1.36
admin_expense_rate	质量类因子	管理费用与营业总收入之比	管理费用与营业总收入之比=管理费用（TTM）/营业总收入（TTM）	-9.22	-8.02	-1.20	-3.78	-84.49	-0.005069	-0.075445	-0.150404	28.28	1.46
invsqlty	风险因子 - 新风格因子	投资能力因子	0.20 * capital_expenditure_growth + 0.40 * total_assets_growth_rate + 0.40 * issuance_growth	-9.25	-8.11	-1.14	0.06	-85.69	0.014541	0.101226	-0.182573	20.74	1.39
circulating_market_cap	基础科目及衍生类因子	流通市值	流通市值	-9.28	-6.16	-3.12	-8.07	-83.89	0.001228	0.008454	-0.143864	33.07	3.76
account_receivable_turnover_days	质量类因子	应收账款周转天数	应收账款周转天数=360/应收账款周转率	-9.28	-8.07	-1.22	-6.13	-84.03	-0.007683	-0.072179	-0.13633	31.20	1.48
accounts_payable_turnover_days	质量类因子	应付账款周转天数	应付账款周转天数 = 360 / 应付账款周转率	-9.33	-8.01	-1.32	-5.33	-84.21	-0.00939	-0.11251	-0.147113	29.22	1.61
account_receivable_turnover_rate	质量类因子	应收账款周转率	即，TTM(营业收入,0)/（AvgQ(应收账款,4,0) + AvgQ(应收票据,4,0) + AvgQ(预收账款,4,0) ）	-9.45	-7.93	-1.51	-10.55	-83.65	0.006748	0.059497	-0.183629	23.78	1.84
inventory_turnover_rate	质量类因子	存货周转率	存货周转率=营业成本（TTM）/存货	-9.47	-8.26	-1.21	-6.81	-84.29	0.007549	0.069834	-0.186311	23.58	1.47
net_operating_cash_flow_coverage	质量类因子	净利润现金含量	经营活动产生的现金流量净额/归属于母公司所有者的净利润	-9.61	-7.35	-2.25	-11.60	-83.25	0.004592	0.090316	-0.183855	23.19	2.74
earnqlty	风险因子 - 新风格因子	盈利质量因子	0.60 * accruals_balance_sheet_version + 0.40 * accruals_cashflow_statement_version	-9.61	-8.47	-1.14	-6.85	-84.38	0.011984	0.112931	-0.186021	22.41	1.39
Kurtosis60	风险类因子	个股收益的60日峰度	取61个交易日的收盘价数据，计算日收益率，再计算其峰度值	-9.66	-4.23	-5.43	-11.64	-83.51	-0.002884	-0.040978	-0.175594	28.34	6.50
size	风险因子 - 风格因子	市值因子	资产规模 = 1.0 * 对数总资产 = 总资产的对数	-9.83	-6.41	-3.42	-6.48	-84.35	-0.004726	-0.024996	-0.162751	32.98	4.14
historical_sigma	风险因子 - 风格因子	残差历史波动率	计算 beta 收益之时的残差收益率的波动率	-9.90	-7.92	-1.98	-3.28	-84.49	-0.04198	-0.166894	-0.130788	37.41	2.42
resvol	风险因子 - 新风格因子	残余波动率因子	0.50 * daily_std + 0.42 * historical_resid_sigma + 0.08 * cum_range	-9.92	-7.53	-2.40	-2.54	-84.55	-0.045369	-0.152358	-0.12123	39.76	2.92
net_invest_cash_flow_ttm	基础科目及衍生类因子	投资活动现金流量净额TTM	计算过去12个月 投资活动现金流量净额 之和	-9.98	-8.06	-1.91	-5.06	-84.29	-0.006032	-0.084214	-0.194945	22.57	2.34
GMI	质量类因子	毛利率指数	上期(年报)毛利率/本期(年报)毛利率	-10.02	-8.49	-1.52	-2.07	-84.91	-0.00176	-0.032275	-0.189383	25.91	1.87
ATR14	情绪类因子	14日均幅指标	真实振幅的14日移动平均	-10.39	-7.38	-3.01	-7.94	-83.79	-0.012729	-0.131439	-0.187318	28.43	3.67
PEG	成长类因子	PEG	PEG = PE / (归母公司净利润(TTM)增长率 * 100) # 如果 PE 或 增长率为负，则为 nan	-10.48	-7.26	-3.22	-4.71	-84.58	-0.004015	-0.049237	-0.207476	24.31	3.93
DSRI	质量类因子	应收账款指数	本期(年报)应收账款占营业收入比例/上期(年报)应收账款占营业收入比例	-10.52	-9.10	-1.41	-6.63	-84.28	-0.002995	-0.050745	-0.216824	26.22	1.74
VOL60	情绪类因子	60日平均换手率	60日换手率的均值,单位为%	-10.55	-8.12	-2.43	-7.81	-83.64	-0.027321	-0.159671	-0.161458	34.85	2.98
